date,cases_DateRepConf
2020-03-06,1
2020-03-08,2
2020-03-09,10
2020-03-10,7
2020-03-11,12
2020-03-12,2
2020-03-13,9
2020-03-14,36
2020-03-15,22
2020-03-16,2
2020-03-17,38
2020-03-18,11
2020-03-19,13
2020-03-20,12
2020-03-21,55
2020-03-22,57
2020-03-23,65
2020-03-24,68
2020-03-25,62
2020-03-26,46
2020-03-27,78
2020-03-28,191
2020-03-29,258
2020-03-30,69
2020-03-31,403
2020-04-01,159
2020-04-02,232
2020-04-03,288
2020-04-04,49
2020-04-05,106
2020-04-06,309
2020-04-07,57
2020-04-08,74
2020-04-09,155
2020-04-10,69
2020-04-11,163
2020-04-12,146
2020-04-13,195
2020-04-14,193
2020-04-15,179
2020-04-16,117
2020-04-17,140
2020-04-18,139
2020-04-19,121
2020-04-20,134
2020-04-21,74
2020-04-22,73
2020-04-23,101
2020-04-24,150
2020-04-25,51
2020-04-26,155
2020-04-27,123
2020-04-28,126
2020-04-29,192
2020-04-30,150
2020-05-01,127
2020-05-02,50
2020-05-03,123
2020-05-04,123
2020-05-05,173
2020-05-06,176
2020-05-07,94
2020-05-08,75
2020-05-09,105
2020-05-10,85
2020-05-11,172
2020-05-12,152
2020-05-13,152
2020-05-14,176
2020-05-15,119
2020-05-16,121
2020-05-17,151
2020-05-18,118
2020-05-19,165
2020-05-20,149
2020-05-21,95
2020-05-22,90
2020-05-23,111
2020-05-24,190
2020-05-25,161
2020-05-26,245
2020-05-27,255
2020-05-28,326
2020-05-29,579
2020-05-30,387
2020-05-31,265
2020-06-01,213
2020-06-02,163
2020-06-03,255
2020-06-04,266
2020-06-05,54
2020-06-06,281
2020-06-07,168
2020-06-08,259
2020-06-09,219
2020-06-10,236
2020-06-11,189
2020-06-12,292
2020-06-13,289
2020-06-14,269
2020-06-15,229
2020-06-16,198
2020-06-17,201
2020-06-18,190
2020-06-19,290
2020-06-20,302
2020-06-21,271
2020-06-22,182
2020-06-23,471
2020-06-24,258
2020-06-25,472
2020-06-26,395
2020-06-27,324
2020-06-28,370
2020-06-29,577
2020-06-30,364
2020-07-01,357
2020-07-02,123
2020-07-03,678
2020-07-04,645
2020-07-05,1180
2020-07-06,1015
2020-07-07,865
2020-07-08,1367
2020-07-09,614
2020-07-10,700
2020-07-11,751
2020-07-12,1118
2020-07-13,526
2020-07-14,345
2020-07-15,603
2020-07-16,1677
2020-07-17,977
2020-07-18,1599
2020-07-19,1486
2020-07-20,1158
2020-07-21,1353
2020-07-22,811
2020-07-23,1323
2020-07-24,1186
2020-07-25,1014
2020-07-26,1158
2020-07-27,1047
2020-07-28,793
2020-07-29,801
2020-07-30,1883
2020-07-31,2288
2020-08-01,2626
2020-08-02,2683
2020-08-03,1530
2020-08-04,2981
2020-08-05,2404
2020-08-06,2004
2020-08-07,1817
2020-08-08,2686
2020-08-09,1668
2020-08-10,4163
2020-08-11,1466
2020-08-12,2544
2020-08-13,2407
2020-08-14,3807
2020-08-15,2459
2020-08-16,2061
2020-08-17,1914
2020-08-18,2959
2020-08-19,3056
2020-08-20,2558
2020-08-21,2701
2020-08-22,2829
2020-08-23,1015
2020-08-24,2491
2020-08-25,1572
2020-08-26,3151
2020-08-27,1576
2020-08-28,2078
2020-08-29,2025
2020-08-30,2199
2020-08-31,1900
